,SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
34,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
35,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
36,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
37,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
38,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
39,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
40,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
41,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
42,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
43,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
44,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
45,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
46,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
47,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
48,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
49,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
50,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
51,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
52,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
53,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
54,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
55,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
56,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
57,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
58,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
59,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
60,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
61,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
62,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
63,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
64,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
65,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
66,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
67,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
68,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
69,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
70,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
71,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
72,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
73,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
74,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
75,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
76,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
77,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
78,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
79,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
80,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
81,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
82,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
83,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
84,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
85,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
86,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
87,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
88,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
89,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
90,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
91,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
92,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
93,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
94,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
95,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
96,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
97,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
98,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
99,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
100,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
101,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
102,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
103,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
104,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
105,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
106,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
107,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
108,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
109,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
110,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
111,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
112,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
113,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
114,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
115,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
116,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
117,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
118,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
119,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
120,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
121,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
122,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
123,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
124,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
125,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
126,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
127,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
128,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
129,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
130,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
131,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
132,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
133,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
134,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
135,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
136,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
137,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
138,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
139,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
140,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
141,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
142,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
143,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
144,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
145,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
146,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
147,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
148,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
149,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
150,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
151,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
152,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
153,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
154,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
155,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
156,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
157,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
158,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
159,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
160,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
161,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
162,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
163,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
164,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
165,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
166,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
167,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
168,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
169,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
170,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
171,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
172,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
173,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
174,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
175,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
176,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
177,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
178,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
179,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
180,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-92,
181,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
182,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
183,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
184,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
185,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
186,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
187,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
188,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
189,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
190,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
191,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
192,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
193,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
194,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
195,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
196,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
197,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
198,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
199,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
200,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
201,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
202,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
203,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
204,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
205,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
206,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
207,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
208,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
209,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
210,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
211,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
212,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
213,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
214,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
215,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
216,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
217,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
218,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
219,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
220,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
221,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
222,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
223,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
224,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
225,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
226,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
227,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
228,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
229,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
230,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
231,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
232,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
233,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
234,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
235,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
236,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
237,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
238,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
239,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
240,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
241,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
242,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
243,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
244,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
245,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
246,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
247,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
248,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-80,
249,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
250,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
251,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
252,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
253,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
254,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
255,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
256,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
257,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
258,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
259,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
260,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
261,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
262,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
263,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-80,
264,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
265,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-80,
266,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
267,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
268,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
269,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
270,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
271,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
272,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
273,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
274,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
275,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
276,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
277,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
278,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
279,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
280,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
281,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
282,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
283,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
284,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
285,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
286,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
287,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
288,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
289,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
290,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
291,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
292,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
293,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
294,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
295,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
296,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
297,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
298,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
299,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
300,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
301,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
302,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
303,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
304,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
305,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
306,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
307,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
308,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
309,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
310,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
311,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
312,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
313,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
314,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
315,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
316,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
317,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
318,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
319,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
320,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
321,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
322,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
323,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
324,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
325,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
326,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
327,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
328,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
329,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
330,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
331,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
332,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
333,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
334,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
335,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
336,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
337,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
338,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
339,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
340,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
341,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
342,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
343,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
344,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
345,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
346,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
347,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
348,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
349,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
350,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
351,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
352,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
353,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
354,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
355,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
356,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
357,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
358,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
359,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
360,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
361,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
362,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
363,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
364,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
365,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
366,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
367,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
368,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
369,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
370,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
371,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
372,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
373,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
374,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
375,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
376,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
377,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
378,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
379,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
380,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
381,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
382,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
383,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
384,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
385,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
386,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
387,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
388,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
389,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
390,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
391,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
392,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
393,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
394,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
395,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
396,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
397,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
398,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
399,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
400,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
401,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
402,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
403,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
404,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
405,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
406,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
407,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
408,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
409,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
410,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
411,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
412,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
413,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
414,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
415,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
416,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
417,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
418,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
419,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-68,
420,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
421,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
422,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
423,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
424,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
